,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,5.0
8,0.1111111111111111,0.125,0.11764705882352941,8.0
9,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0
10,0.3076923076923077,0.26666666666666666,0.2857142857142857,15.0
11,0.1,0.08333333333333333,0.09090909090909091,24.0
12,0.14814814814814814,0.3333333333333333,0.20512820512820512,12.0
13,0.0,0.0,0.0,16.0
14,0.2,0.15384615384615385,0.17391304347826086,13.0
15,0.0,0.0,0.0,7.0
16,0.0,0.0,0.0,2.0
17,0.25,0.125,0.16666666666666666,8.0
18,0.0,0.0,0.0,1.0
accuracy,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
macro avg,0.08454415954415953,0.08241758241758242,0.07904607267047895,130.0
weighted avg,0.11755424063116371,0.11538461538461539,0.11126500229392222,130.0
