,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,2.0
7,0.0,0.0,0.0,7.0
8,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
9,0.0,0.0,0.0,16.0
10,0.14285714285714285,0.2222222222222222,0.17391304347826086,18.0
11,0.125,0.11764705882352941,0.12121212121212122,17.0
12,0.08695652173913043,0.14285714285714285,0.10810810810810811,14.0
13,0.1875,0.2727272727272727,0.2222222222222222,11.0
14,0.0,0.0,0.0,13.0
15,0.4,0.16666666666666666,0.23529411764705882,12.0
16,0.0,0.0,0.0,4.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,0.0
accuracy,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077
macro avg,0.07022831838049229,0.06888209829386299,0.06479071491859216,130.0
weighted avg,0.10597169135212614,0.1076923076923077,0.09978867856105707,130.0
