,precision,recall,f1-score,support
0,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.5,0.1111111111111111,0.18181818181818182,9.0
10,0.06666666666666667,0.05263157894736842,0.058823529411764705,19.0
11,0.3103448275862069,0.4090909090909091,0.35294117647058826,22.0
12,0.2,0.16666666666666666,0.18181818181818182,12.0
13,0.12,0.25,0.16216216216216217,12.0
14,0.2857142857142857,0.13333333333333333,0.18181818181818182,15.0
15,0.0,0.0,0.0,10.0
16,0.0,0.0,0.0,5.0
17,0.3333333333333333,0.1,0.15384615384615385,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.14615384615384616,0.14615384615384616,0.14615384615384616,0.14615384615384616
macro avg,0.12971850809289232,0.0873452570820992,0.09094482623894387,130.0
weighted avg,0.18502538840469876,0.14615384615384616,0.14547857670029618,130.0
