,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,1.0
7,0.1111111111111111,0.2,0.14285714285714285,5.0
8,0.0,0.0,0.0,8.0
9,0.11764705882352941,0.13333333333333333,0.125,15.0
10,0.11764705882352941,0.13333333333333333,0.125,15.0
11,0.10526315789473684,0.08333333333333333,0.09302325581395349,24.0
12,0.0,0.0,0.0,12.0
13,0.06666666666666667,0.0625,0.06451612903225806,16.0
14,0.2857142857142857,0.15384615384615385,0.2,13.0
15,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0
16,0.25,0.5,0.3333333333333333,2.0
17,0.0,0.0,0.0,8.0
18,0.0,0.0,0.0,1.0
accuracy,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.09230769230769231
macro avg,0.08719400040718041,0.10065737833594977,0.08839828677734583,130.0
weighted avg,0.100453093518109,0.09230769230769231,0.09286685893789592,130.0
