,precision,recall,f1-score,support
0,0.6,0.75,0.6666666666666666,4.0
1,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
9,0.5714285714285714,0.4444444444444444,0.5,9.0
10,0.4,0.3157894736842105,0.35294117647058826,19.0
11,0.4583333333333333,0.5,0.4782608695652174,22.0
12,0.07142857142857142,0.08333333333333333,0.07692307692307693,12.0
13,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
14,0.5454545454545454,0.4,0.46153846153846156,15.0
15,0.36363636363636365,0.4,0.38095238095238093,10.0
16,0.4,0.4,0.4,5.0
17,0.6666666666666666,0.4,0.5,10.0
18,0.5,1.0,0.6666666666666666,1.0
19,0.0,0.0,0.0,0.0
accuracy,0.3923076923076923,0.3923076923076923,0.3923076923076923,0.3923076923076923
macro avg,0.3162910618792972,0.3272126394417416,0.31236236029375797,130.0
weighted avg,0.4230885780885781,0.3923076923076923,0.40071308344965634,130.0
