,precision,recall,f1-score,support
0,0.5,0.25,0.3333333333333333,4.0
1,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.25,0.2222222222222222,0.23529411764705882,9.0
10,0.12,0.15789473684210525,0.13636363636363635,19.0
11,0.16,0.18181818181818182,0.1702127659574468,22.0
12,0.0,0.0,0.0,12.0
13,0.08695652173913043,0.16666666666666666,0.11428571428571428,12.0
14,0.1111111111111111,0.06666666666666667,0.08333333333333333,15.0
15,0.14285714285714285,0.1,0.11764705882352941,10.0
16,0.14285714285714285,0.2,0.16666666666666666,5.0
17,0.0,0.0,0.0,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
macro avg,0.10091879457096847,0.08968456494772285,0.09047577509404793,130.0
weighted avg,0.11463847746456442,0.11538461538461539,0.11090617559328449,130.0
