,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,5.0
8,0.1111111111111111,0.125,0.11764705882352941,8.0
9,0.07142857142857142,0.06666666666666667,0.06896551724137931,15.0
10,0.1875,0.2,0.1935483870967742,15.0
11,0.17391304347826086,0.16666666666666666,0.1702127659574468,24.0
12,0.2,0.25,0.2222222222222222,12.0
13,0.0,0.0,0.0,16.0
14,0.23076923076923078,0.23076923076923078,0.23076923076923078,13.0
15,0.1,0.14285714285714285,0.11764705882352941,7.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,8.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0
accuracy,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.12307692307692308
macro avg,0.06717012229919839,0.07387248168498169,0.07006326505838201,130.0
weighted avg,0.11574408079842863,0.12307692307692308,0.1188783653620818,130.0
