,precision,recall,f1-score,support
0,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
9,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
10,0.2777777777777778,0.2631578947368421,0.2702702702702703,19.0
11,0.4,0.5454545454545454,0.46153846153846156,22.0
12,0.1111111111111111,0.08333333333333333,0.09523809523809523,12.0
13,0.2222222222222222,0.3333333333333333,0.26666666666666666,12.0
14,0.3333333333333333,0.13333333333333333,0.19047619047619047,15.0
15,0.25,0.3,0.2727272727272727,10.0
16,0.2,0.4,0.26666666666666666,5.0
17,1.0,0.5,0.6666666666666666,10.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0
accuracy,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2846153846153846
macro avg,0.2145791245791246,0.19491278701805015,0.19120187120187118,130.0
weighted avg,0.3093395493395494,0.2846153846153846,0.2799540907233215,130.0
