,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,1.0
7,0.2,0.2,0.2,5.0
8,0.0,0.0,0.0,8.0
9,0.13333333333333333,0.13333333333333333,0.13333333333333333,15.0
10,0.0625,0.06666666666666667,0.06451612903225806,15.0
11,0.17391304347826086,0.16666666666666666,0.1702127659574468,24.0
12,0.030303030303030304,0.08333333333333333,0.044444444444444446,12.0
13,0.07142857142857142,0.0625,0.06666666666666667,16.0
14,0.25,0.15384615384615385,0.19047619047619047,13.0
15,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0
16,0.3333333333333333,0.5,0.4,2.0
17,1.0,0.125,0.2222222222222222,8.0
18,0.0,0.0,0.0,1.0
accuracy,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
macro avg,0.17296271275308545,0.11672880690737833,0.11755127899847971,130.0
weighted avg,0.17462492217927,0.11538461538461539,0.12141338191810712,130.0
