,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,1.0
7,0.14285714285714285,0.2,0.16666666666666666,5.0
8,0.08333333333333333,0.125,0.1,8.0
9,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
10,0.17647058823529413,0.2,0.1875,15.0
11,0.46153846153846156,0.25,0.32432432432432434,24.0
12,0.2608695652173913,0.5,0.34285714285714286,12.0
13,0.1,0.0625,0.07692307692307693,16.0
14,0.6,0.23076923076923078,0.3333333333333333,13.0
15,0.16666666666666666,0.2857142857142857,0.21052631578947367,7.0
16,0.1111111111111111,0.5,0.18181818181818182,2.0
17,0.6666666666666666,0.25,0.36363636363636365,8.0
18,0.25,1.0,0.4,1.0
19,0.0,0.0,0.0,0.0
accuracy,0.23846153846153847,0.23846153846153847,0.23846153846153847,0.23846153846153847
macro avg,0.2235231245972934,0.25804334554334557,0.19892544677632393,130.0
weighted avg,0.3046737791248907,0.23846153846153847,0.24229893325541096,130.0
