,precision,recall,f1-score,support
0,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
9,0.14285714285714285,0.1111111111111111,0.125,9.0
10,0.3181818181818182,0.3684210526315789,0.34146341463414637,19.0
11,0.4444444444444444,0.36363636363636365,0.4,22.0
12,0.25,0.25,0.25,12.0
13,0.25,0.5,0.3333333333333333,12.0
14,0.2,0.13333333333333333,0.16,15.0
15,0.3333333333333333,0.3,0.3157894736842105,10.0
16,0.23076923076923078,0.6,0.3333333333333333,5.0
17,0.5,0.1,0.16666666666666666,10.0
18,0.5,1.0,0.6666666666666666,1.0
accuracy,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2846153846153846
macro avg,0.24680716109287534,0.28658686760190516,0.24128336957376018,130.0
weighted avg,0.29304712381635456,0.2846153846153846,0.2690053816530068,130.0
